Observation,Data_Marking,Value_Domain,Observation_Type,Observation_Type_Value,Unit_Of_Measure,Geographic_Hierarchy,Geographic_Area,Time,Time_Type,CDID,Dimension_1,Dimension_Value_1,Dimension_2,Dimension_Value_2
1377125,,,,,,,K04000001,2014,Year,,NACE,10 - Manufacture of food products,Prodcom Elements,Net carry in/carry out
77061182,,,,,,,K04000001,2014,Year,,NACE,10 - Manufacture of food products,Prodcom Elements,Total turnover of businesses classified to this industry
6588782,,,,,,,K04000001,2014,Year,,NACE,1011 - Processing and preserving of meat,Prodcom Elements,UK manufacturer sales of individual products listed in this product group
6988,,,,,,,K04000001,2014,Year,,NACE,1011 - Processing and preserving of meat,Prodcom Elements,All other income
6595769,,,,,,,K04000001,2014,Year,,NACE,1011 - Processing and preserving of meat,Prodcom Elements,Total UK manufacturer sales of products in this product group
73077,,,,,,,K04000001,2014,Year,,NACE,1011 - Processing and preserving of meat,Prodcom Elements,Merchanted goods
40514,,,,,,,K04000001,2014,Year,,NACE,1011 - Processing and preserving of meat,Prodcom Elements,Work done
9620,,,,,,,K04000001,2014,Year,,NACE,1011 - Processing and preserving of meat,Prodcom Elements,Waste Products
14832,,,,,,,K04000001,2014,Year,,NACE,1011 - Processing and preserving of meat,Prodcom Elements,Non production income
249383,,,,,,,K04000001,2014,Year,,NACE,1011 - Processing and preserving of meat,Prodcom Elements,Net carry in/carry out
6983196,,,,,,,K04000001,2014,Year,,NACE,1011 - Processing and preserving of meat,Prodcom Elements,Total turnover of businesses classified to this industry
3605372,,,,,,,K04000001,2014,Year,,NACE,1012 - Processing and preserving of poultry meat,Prodcom Elements,UK manufacturer sales of individual products listed in this product group
106247,,,,,,,K04000001,2014,Year,,NACE,1012 - Processing and preserving of poultry meat,Prodcom Elements,All other income
3711619,,,,,,,K04000001,2014,Year,,NACE,1012 - Processing and preserving of poultry meat,Prodcom Elements,Total UK manufacturer sales of products in this product group
230009,,,,,,,K04000001,2014,Year,,NACE,1012 - Processing and preserving of poultry meat,Prodcom Elements,Merchanted goods
2459,,,,,,,K04000001,2014,Year,,NACE,1012 - Processing and preserving of poultry meat,Prodcom Elements,Work done
18172,,,,,,,K04000001,2014,Year,,NACE,1012 - Processing and preserving of poultry meat,Prodcom Elements,Waste Products
67687,,,,,,,K04000001,2014,Year,,NACE,1012 - Processing and preserving of poultry meat,Prodcom Elements,Non production income
509093,,,,,,,K04000001,2014,Year,,NACE,1012 - Processing and preserving of poultry meat,Prodcom Elements,Net carry in/carry out
4539038,,,,,,,K04000001,2014,Year,,NACE,1012 - Processing and preserving of poultry meat,Prodcom Elements,Total turnover of businesses classified to this industry
5443389,,,,,,,K04000001,2014,Year,,NACE,1013 - Production of meat and poultry meat products,Prodcom Elements,UK manufacturer sales of individual products listed in this product group
32760,,,,,,,K04000001,2014,Year,,NACE,1013 - Production of meat and poultry meat products,Prodcom Elements,All other income
5476148,,,,,,,K04000001,2014,Year,,NACE,1013 - Production of meat and poultry meat products,Prodcom Elements,Total UK manufacturer sales of products in this product group
190916,,,,,,,K04000001,2014,Year,,NACE,1013 - Production of meat and poultry meat products,Prodcom Elements,Merchanted goods
444,,,,,,,K04000001,2014,Year,,NACE,1013 - Production of meat and poultry meat products,Prodcom Elements,Work done
3001,,,,,,,K04000001,2014,Year,,NACE,1013 - Production of meat and poultry meat products,Prodcom Elements,Waste Products
4608,,,,,,,K04000001,2014,Year,,NACE,1013 - Production of meat and poultry meat products,Prodcom Elements,Non production income
87333,,,,,,,K04000001,2014,Year,,NACE,1013 - Production of meat and poultry meat products,Prodcom Elements,Net carry in/carry out
5762450,,,,,,,K04000001,2014,Year,,NACE,1013 - Production of meat and poultry meat products,Prodcom Elements,Total turnover of businesses classified to this industry
2097829,,,,,,,K04000001,2014,Year,,NACE,"1020 - Processing and preserving of fish, crustaceans and molluscs",Prodcom Elements,UK manufacturer sales of individual products listed in this product group
126350,,,,,,,K04000001,2014,Year,,NACE,"1020 - Processing and preserving of fish, crustaceans and molluscs",Prodcom Elements,All other income
2224180,,,,,,,K04000001,2014,Year,,NACE,"1020 - Processing and preserving of fish, crustaceans and molluscs",Prodcom Elements,Total UK manufacturer sales of products in this product group
163003,,,,,,,K04000001,2014,Year,,NACE,"1020 - Processing and preserving of fish, crustaceans and molluscs",Prodcom Elements,Merchanted goods
12731,,,,,,,K04000001,2014,Year,,NACE,"1020 - Processing and preserving of fish, crustaceans and molluscs",Prodcom Elements,Work done
5067,,,,,,,K04000001,2014,Year,,NACE,"1020 - Processing and preserving of fish, crustaceans and molluscs",Prodcom Elements,Waste Products
26502,,,,,,,K04000001,2014,Year,,NACE,"1020 - Processing and preserving of fish, crustaceans and molluscs",Prodcom Elements,Non production income
303970,,,,,,,K04000001,2014,Year,,NACE,"1020 - Processing and preserving of fish, crustaceans and molluscs",Prodcom Elements,Net carry in/carry out
2735453,,,,,,,K04000001,2014,Year,,NACE,"1020 - Processing and preserving of fish, crustaceans and molluscs",Prodcom Elements,Total turnover of businesses classified to this industry
1124354,,,,,,,K04000001,2014,Year,,NACE,1031 - Processing and preserving of potatoes,Prodcom Elements,UK manufacturer sales of individual products listed in this product group
87506,,,,,,,K04000001,2014,Year,,NACE,1031 - Processing and preserving of potatoes,Prodcom Elements,All other income
1211860,,,,,,,K04000001,2014,Year,,NACE,1031 - Processing and preserving of potatoes,Prodcom Elements,Total UK manufacturer sales of products in this product group
2059,,,,,,,K04000001,2014,Year,,NACE,1031 - Processing and preserving of potatoes,Prodcom Elements,Waste Products
-327835,,,,,,,K04000001,2014,Year,,NACE,1031 - Processing and preserving of potatoes,Prodcom Elements,Net carry in/carry out
1481713,,,,,,,K04000001,2014,Year,,NACE,1031 - Processing and preserving of potatoes,Prodcom Elements,Total turnover of businesses classified to this industry
591156,,,,,,,K04000001,2014,Year,,NACE,1032 - Manufacture of fruit and vegetable juice,Prodcom Elements,UK manufacturer sales of individual products listed in this product group
58903,,,,,,,K04000001,2014,Year,,NACE,1032 - Manufacture of fruit and vegetable juice,Prodcom Elements,All other income
650059,,,,,,,K04000001,2014,Year,,NACE,1032 - Manufacture of fruit and vegetable juice,Prodcom Elements,Total UK manufacturer sales of products in this product group
-287528,,,,,,,K04000001,2014,Year,,NACE,1032 - Manufacture of fruit and vegetable juice,Prodcom Elements,Net carry in/carry out
2592036,,,,,,,K04000001,2014,Year,,NACE,1039 - Other processing and preserving of fruit and vegetables,Prodcom Elements,UK manufacturer sales of individual products listed in this product group
573091,,,,,,,K04000001,2014,Year,,NACE,1039 - Other processing and preserving of fruit and vegetables,Prodcom Elements,All other income
3165127,,,,,,,K04000001,2014,Year,,NACE,1039 - Other processing and preserving of fruit and vegetables,Prodcom Elements,Total UK manufacturer sales of products in this product group
744556,,,,,,,K04000001,2014,Year,,NACE,1039 - Other processing and preserving of fruit and vegetables,Prodcom Elements,Merchanted goods
7061,,,,,,,K04000001,2014,Year,,NACE,1039 - Other processing and preserving of fruit and vegetables,Prodcom Elements,Work done
781,,,,,,,K04000001,2014,Year,,NACE,1039 - Other processing and preserving of fruit and vegetables,Prodcom Elements,Waste Products
18725,,,,,,,K04000001,2014,Year,,NACE,1039 - Other processing and preserving of fruit and vegetables,Prodcom Elements,Non production income
238497,,,,,,,K04000001,2014,Year,,NACE,1039 - Other processing and preserving of fruit and vegetables,Prodcom Elements,Net carry in/carry out
4174747,,,,,,,K04000001,2014,Year,,NACE,1039 - Other processing and preserving of fruit and vegetables,Prodcom Elements,Total turnover of businesses classified to this industry
536605,,,,,,,K04000001,2014,Year,,NACE,1041 - Manufacture of oils and fats,Prodcom Elements,UK manufacturer sales of individual products listed in this product group
529244,,,,,,,K04000001,2014,Year,,NACE,1041 - Manufacture of oils and fats,Prodcom Elements,All other income
1065848,,,,,,,K04000001,2014,Year,,NACE,1041 - Manufacture of oils and fats,Prodcom Elements,Total UK manufacturer sales of products in this product group
10362,,,,,,,K04000001,2014,Year,,NACE,1041 - Manufacture of oils and fats,Prodcom Elements,Merchanted goods
61224,,,,,,,K04000001,2014,Year,,NACE,1041 - Manufacture of oils and fats,Prodcom Elements,Work done
-585967,,,,,,,K04000001,2014,Year,,NACE,1041 - Manufacture of oils and fats,Prodcom Elements,Net carry in/carry out
560548,,,,,,,K04000001,2014,Year,,NACE,1041 - Manufacture of oils and fats,Prodcom Elements,Total turnover of businesses classified to this industry
161559,,,,,,,K04000001,2014,Year,,NACE,1042 - Manufacture of margarine and similar edible fats,Prodcom Elements,UK manufacturer sales of individual products listed in this product group
0,,,,,,,K04000001,2014,Year,,NACE,1042 - Manufacture of margarine and similar edible fats,Prodcom Elements,Work done
10,,,,,,,K04000001,2014,Year,,NACE,1042 - Manufacture of margarine and similar edible fats,Prodcom Elements,Non production income
-319851,,,,,,,K04000001,2014,Year,,NACE,1042 - Manufacture of margarine and similar edible fats,Prodcom Elements,Net carry in/carry out
7759866,,,,,,,K04000001,2014,Year,,NACE,1051 - Operation of dairies & cheesemaking,Prodcom Elements,UK manufacturer sales of individual products listed in this product group
169155,,,,,,,K04000001,2014,Year,,NACE,1051 - Operation of dairies & cheesemaking,Prodcom Elements,All other income
7929021,,,,,,,K04000001,2014,Year,,NACE,1051 - Operation of dairies & cheesemaking,Prodcom Elements,Total UK manufacturer sales of products in this product group
1691805,,,,,,,K04000001,2014,Year,,NACE,1051 - Operation of dairies & cheesemaking,Prodcom Elements,Merchanted goods
50487,,,,,,,K04000001,2014,Year,,NACE,1051 - Operation of dairies & cheesemaking,Prodcom Elements,Non production income
674862,,,,,,,K04000001,2014,Year,,NACE,1051 - Operation of dairies & cheesemaking,Prodcom Elements,Net carry in/carry out
10513949,,,,,,,K04000001,2014,Year,,NACE,1051 - Operation of dairies & cheesemaking,Prodcom Elements,Total turnover of businesses classified to this industry
681158,,,,,,,K04000001,2014,Year,,NACE,1052 - Manufacture of ice cream,Prodcom Elements,UK manufacturer sales of individual products listed in this product group
59,,,,,,,K04000001,2014,Year,,NACE,1052 - Manufacture of ice cream,Prodcom Elements,All other income
681216,,,,,,,K04000001,2014,Year,,NACE,1052 - Manufacture of ice cream,Prodcom Elements,Total UK manufacturer sales of products in this product group
18977,,,,,,,K04000001,2014,Year,,NACE,1052 - Manufacture of ice cream,Prodcom Elements,Merchanted goods
1624,,,,,,,K04000001,2014,Year,,NACE,1052 - Manufacture of ice cream,Prodcom Elements,Non production income
-305216,,,,,,,K04000001,2014,Year,,NACE,1052 - Manufacture of ice cream,Prodcom Elements,Net carry in/carry out
396866,,,,,,,K04000001,2014,Year,,NACE,1052 - Manufacture of ice cream,Prodcom Elements,Total turnover of businesses classified to this industry
3881036,,,,,,,K04000001,2014,Year,,NACE,1061 - Manufacture of grain mill products,Prodcom Elements,UK manufacturer sales of individual products listed in this product group
146597,,,,,,,K04000001,2014,Year,,NACE,1061 - Manufacture of grain mill products,Prodcom Elements,Merchanted goods
9127,,,,,,,K04000001,2014,Year,,NACE,1061 - Manufacture of grain mill products,Prodcom Elements,Waste Products
6640,,,,,,,K04000001,2014,Year,,NACE,1061 - Manufacture of grain mill products,Prodcom Elements,Non production income
-346460,,,,,,,K04000001,2014,Year,,NACE,1061 - Manufacture of grain mill products,Prodcom Elements,Net carry in/carry out
3777773,,,,,,,K04000001,2014,Year,,NACE,1061 - Manufacture of grain mill products,Prodcom Elements,Total turnover of businesses classified to this industry
68664,,,,,,,K04000001,2014,Year,,NACE,1062 - Manufacture of starches and starch products,Prodcom Elements,UK manufacturer sales of individual products listed in this product group
256625,,,,,,,K04000001,2014,Year,,NACE,1062 - Manufacture of starches and starch products,Prodcom Elements,All other income
325290,,,,,,,K04000001,2014,Year,,NACE,1062 - Manufacture of starches and starch products,Prodcom Elements,Total UK manufacturer sales of products in this product group
578449,,,,,,,K04000001,2014,Year,,NACE,1062 - Manufacture of starches and starch products,Prodcom Elements,Net carry in/carry out
6270370,,,,,,,K04000001,2014,Year,,NACE,1071 - Manufacture of bread; manufacture of fresh pastry goods and cakes,Prodcom Elements,UK manufacturer sales of individual products listed in this product group
10912,,,,,,,K04000001,2014,Year,,NACE,1071 - Manufacture of bread; manufacture of fresh pastry goods and cakes,Prodcom Elements,All other income
6281282,,,,,,,K04000001,2014,Year,,NACE,1071 - Manufacture of bread; manufacture of fresh pastry goods and cakes,Prodcom Elements,Total UK manufacturer sales of products in this product group
216356,,,,,,,K04000001,2014,Year,,NACE,1071 - Manufacture of bread; manufacture of fresh pastry goods and cakes,Prodcom Elements,Merchanted goods
1079,,,,,,,K04000001,2014,Year,,NACE,1071 - Manufacture of bread; manufacture of fresh pastry goods and cakes,Prodcom Elements,Work done
4981,,,,,,,K04000001,2014,Year,,NACE,1071 - Manufacture of bread; manufacture of fresh pastry goods and cakes,Prodcom Elements,Waste Products
16566,,,,,,,K04000001,2014,Year,,NACE,1071 - Manufacture of bread; manufacture of fresh pastry goods and cakes,Prodcom Elements,Non production income
1020159,,,,,,,K04000001,2014,Year,,NACE,1071 - Manufacture of bread; manufacture of fresh pastry goods and cakes,Prodcom Elements,Net carry in/carry out
7540423,,,,,,,K04000001,2014,Year,,NACE,1071 - Manufacture of bread; manufacture of fresh pastry goods and cakes,Prodcom Elements,Total turnover of businesses classified to this industry
3547663,,,,,,,K04000001,2014,Year,,NACE,1072 - Manufacture of rusks and biscuits; manufacture of preserved pastry goods and cakes,Prodcom Elements,UK manufacturer sales of individual products listed in this product group
759307,,,,,,,K04000001,2014,Year,,NACE,1072 - Manufacture of rusks and biscuits; manufacture of preserved pastry goods and cakes,Prodcom Elements,All other income
4306970,,,,,,,K04000001,2014,Year,,NACE,1072 - Manufacture of rusks and biscuits; manufacture of preserved pastry goods and cakes,Prodcom Elements,Total UK manufacturer sales of products in this product group
77243,,,,,,,K04000001,2014,Year,,NACE,1072 - Manufacture of rusks and biscuits; manufacture of preserved pastry goods and cakes,Prodcom Elements,Merchanted goods
0,,,,,,,K04000001,2014,Year,,NACE,1072 - Manufacture of rusks and biscuits; manufacture of preserved pastry goods and cakes,Prodcom Elements,Work done
2861,,,,,,,K04000001,2014,Year,,NACE,1072 - Manufacture of rusks and biscuits; manufacture of preserved pastry goods and cakes,Prodcom Elements,Waste Products
4429,,,,,,,K04000001,2014,Year,,NACE,1072 - Manufacture of rusks and biscuits; manufacture of preserved pastry goods and cakes,Prodcom Elements,Non production income
-693701,,,,,,,K04000001,2014,Year,,NACE,1072 - Manufacture of rusks and biscuits; manufacture of preserved pastry goods and cakes,Prodcom Elements,Net carry in/carry out
3697802,,,,,,,K04000001,2014,Year,,NACE,1072 - Manufacture of rusks and biscuits; manufacture of preserved pastry goods and cakes,Prodcom Elements,Total turnover of businesses classified to this industry
31852,,,,,,,K04000001,2014,Year,,NACE,"1073 - Manufacture of macaroni, noodles, couscous and similar farinaceous products",Prodcom Elements,UK manufacturer sales of individual products listed in this product group
19053,,,,,,,K04000001,2014,Year,,NACE,"1073 - Manufacture of macaroni, noodles, couscous and similar farinaceous products",Prodcom Elements,Merchanted goods
0,,,,,,,K04000001,2014,Year,,NACE,"1073 - Manufacture of macaroni, noodles, couscous and similar farinaceous products",Prodcom Elements,Work done
0,,,,,,,K04000001,2014,Year,,NACE,"1073 - Manufacture of macaroni, noodles, couscous and similar farinaceous products",Prodcom Elements,Waste Products
106859,,,,,,,K04000001,2014,Year,,NACE,"1073 - Manufacture of macaroni, noodles, couscous and similar farinaceous products",Prodcom Elements,Net carry in/carry out
159162,,,,,,,K04000001,2014,Year,,NACE,"1073 - Manufacture of macaroni, noodles, couscous and similar farinaceous products",Prodcom Elements,Total turnover of businesses classified to this industry
0,,,,,,,K04000001,2014,Year,,NACE,1081 - Manufacture of sugar,Prodcom Elements,UK manufacturer sales of individual products listed in this product group
1049265,,,,,,,K04000001,2014,Year,,NACE,1081 - Manufacture of sugar,Prodcom Elements,All other income
1049265,,,,,,,K04000001,2014,Year,,NACE,1081 - Manufacture of sugar,Prodcom Elements,Total UK manufacturer sales of products in this product group
0,,,,,,,K04000001,2014,Year,,NACE,1081 - Manufacture of sugar,Prodcom Elements,Work done
147213,,,,,,,K04000001,2014,Year,,NACE,1081 - Manufacture of sugar,Prodcom Elements,Net carry in/carry out
2618617,,,,,,,K04000001,2014,Year,,NACE,"1082 - Manufacture of cocoa, chocolate & sugar confectionery",Prodcom Elements,UK manufacturer sales of individual products listed in this product group
28998,,,,,,,K04000001,2014,Year,,NACE,"1082 - Manufacture of cocoa, chocolate & sugar confectionery",Prodcom Elements,All other income
2647614,,,,,,,K04000001,2014,Year,,NACE,"1082 - Manufacture of cocoa, chocolate & sugar confectionery",Prodcom Elements,Total UK manufacturer sales of products in this product group
579841,,,,,,,K04000001,2014,Year,,NACE,"1082 - Manufacture of cocoa, chocolate & sugar confectionery",Prodcom Elements,Merchanted goods
17595,,,,,,,K04000001,2014,Year,,NACE,"1082 - Manufacture of cocoa, chocolate & sugar confectionery",Prodcom Elements,Non production income
514435,,,,,,,K04000001,2014,Year,,NACE,"1082 - Manufacture of cocoa, chocolate & sugar confectionery",Prodcom Elements,Net carry in/carry out
4004689,,,,,,,K04000001,2014,Year,,NACE,"1082 - Manufacture of cocoa, chocolate & sugar confectionery",Prodcom Elements,Total turnover of businesses classified to this industry
850642,,,,,,,K04000001,2014,Year,,NACE,1083 - Processing of tea & coffee,Prodcom Elements,UK manufacturer sales of individual products listed in this product group
332605,,,,,,,K04000001,2014,Year,,NACE,1083 - Processing of tea & coffee,Prodcom Elements,Merchanted goods
473,,,,,,,K04000001,2014,Year,,NACE,1083 - Processing of tea & coffee,Prodcom Elements,Work done
79801,,,,,,,K04000001,2014,Year,,NACE,1083 - Processing of tea & coffee,Prodcom Elements,Non production income
-54969,,,,,,,K04000001,2014,Year,,NACE,1083 - Processing of tea & coffee,Prodcom Elements,Net carry in/carry out
1897830,,,,,,,K04000001,2014,Year,,NACE,1083 - Processing of tea & coffee,Prodcom Elements,Total turnover of businesses classified to this industry
1951744,,,,,,,K04000001,2014,Year,,NACE,1084 - Manufacture of condiments and seasonings,Prodcom Elements,UK manufacturer sales of individual products listed in this product group
6919,,,,,,,K04000001,2014,Year,,NACE,1084 - Manufacture of condiments and seasonings,Prodcom Elements,All other income
1958663,,,,,,,K04000001,2014,Year,,NACE,1084 - Manufacture of condiments and seasonings,Prodcom Elements,Total UK manufacturer sales of products in this product group
137743,,,,,,,K04000001,2014,Year,,NACE,1084 - Manufacture of condiments and seasonings,Prodcom Elements,Merchanted goods
269,,,,,,,K04000001,2014,Year,,NACE,1084 - Manufacture of condiments and seasonings,Prodcom Elements,Non production income
-577144,,,,,,,K04000001,2014,Year,,NACE,1084 - Manufacture of condiments and seasonings,Prodcom Elements,Net carry in/carry out
1523320,,,,,,,K04000001,2014,Year,,NACE,1084 - Manufacture of condiments and seasonings,Prodcom Elements,Total turnover of businesses classified to this industry
3115267,,,,,,,K04000001,2014,Year,,NACE,1085 - Manufacture of prepared meals and dishes,Prodcom Elements,UK manufacturer sales of individual products listed in this product group
805,,,,,,,K04000001,2014,Year,,NACE,1085 - Manufacture of prepared meals and dishes,Prodcom Elements,All other income
3116072,,,,,,,K04000001,2014,Year,,NACE,1085 - Manufacture of prepared meals and dishes,Prodcom Elements,Total UK manufacturer sales of products in this product group
146385,,,,,,,K04000001,2014,Year,,NACE,1085 - Manufacture of prepared meals and dishes,Prodcom Elements,Merchanted goods
62,,,,,,,K04000001,2014,Year,,NACE,1085 - Manufacture of prepared meals and dishes,Prodcom Elements,Work done
613,,,,,,,K04000001,2014,Year,,NACE,1085 - Manufacture of prepared meals and dishes,Prodcom Elements,Waste Products
5238,,,,,,,K04000001,2014,Year,,NACE,1085 - Manufacture of prepared meals and dishes,Prodcom Elements,Non production income
170451,,,,,,,K04000001,2014,Year,,NACE,1085 - Manufacture of prepared meals and dishes,Prodcom Elements,Net carry in/carry out
3438821,,,,,,,K04000001,2014,Year,,NACE,1085 - Manufacture of prepared meals and dishes,Prodcom Elements,Total turnover of businesses classified to this industry
0,,,,,,,K04000001,2014,Year,,NACE,1086 - Manufacture of homogenised food preparations and dietetic food,Prodcom Elements,UK manufacturer sales of individual products listed in this product group
17989,,,,,,,K04000001,2014,Year,,NACE,1086 - Manufacture of homogenised food preparations and dietetic food,Prodcom Elements,All other income
17989,,,,,,,K04000001,2014,Year,,NACE,1086 - Manufacture of homogenised food preparations and dietetic food,Prodcom Elements,Total UK manufacturer sales of products in this product group
0,,,,,,,K04000001,2014,Year,,NACE,1086 - Manufacture of homogenised food preparations and dietetic food,Prodcom Elements,Work done
0,,,,,,,K04000001,2014,Year,,NACE,1086 - Manufacture of homogenised food preparations and dietetic food,Prodcom Elements,Non production income
-10292,,,,,,,K04000001,2014,Year,,NACE,1086 - Manufacture of homogenised food preparations and dietetic food,Prodcom Elements,Net carry in/carry out
9693,,,,,,,K04000001,2014,Year,,NACE,1086 - Manufacture of homogenised food preparations and dietetic food,Prodcom Elements,Total turnover of businesses classified to this industry
3547890,,,,,,,K04000001,2014,Year,,NACE,1089 - Manufacture of other food products n.e.c.,Prodcom Elements,UK manufacturer sales of individual products listed in this product group
100189,,,,,,,K04000001,2014,Year,,NACE,1089 - Manufacture of other food products n.e.c.,Prodcom Elements,All other income
3648079,,,,,,,K04000001,2014,Year,,NACE,1089 - Manufacture of other food products n.e.c.,Prodcom Elements,Total UK manufacturer sales of products in this product group
457371,,,,,,,K04000001,2014,Year,,NACE,1089 - Manufacture of other food products n.e.c.,Prodcom Elements,Merchanted goods
11835,,,,,,,K04000001,2014,Year,,NACE,1089 - Manufacture of other food products n.e.c.,Prodcom Elements,Work done
5465,,,,,,,K04000001,2014,Year,,NACE,1089 - Manufacture of other food products n.e.c.,Prodcom Elements,Waste Products
44211,,,,,,,K04000001,2014,Year,,NACE,1089 - Manufacture of other food products n.e.c.,Prodcom Elements,Non production income
334386,,,,,,,K04000001,2014,Year,,NACE,1089 - Manufacture of other food products n.e.c.,Prodcom Elements,Net carry in/carry out
4501349,,,,,,,K04000001,2014,Year,,NACE,1089 - Manufacture of other food products n.e.c.,Prodcom Elements,Total turnover of businesses classified to this industry
4105281,,,,,,,K04000001,2014,Year,,NACE,1091 - Manufacture of prepared feeds for farm animals,Prodcom Elements,UK manufacturer sales of individual products listed in this product group
7470,,,,,,,K04000001,2014,Year,,NACE,1091 - Manufacture of prepared feeds for farm animals,Prodcom Elements,All other income
4112750,,,,,,,K04000001,2014,Year,,NACE,1091 - Manufacture of prepared feeds for farm animals,Prodcom Elements,Total UK manufacturer sales of products in this product group
313276,,,,,,,K04000001,2014,Year,,NACE,1091 - Manufacture of prepared feeds for farm animals,Prodcom Elements,Merchanted goods
29542,,,,,,,K04000001,2014,Year,,NACE,1091 - Manufacture of prepared feeds for farm animals,Prodcom Elements,Non production income
-183929,,,,,,,K04000001,2014,Year,,NACE,1091 - Manufacture of prepared feeds for farm animals,Prodcom Elements,Net carry in/carry out
4286173,,,,,,,K04000001,2014,Year,,NACE,1091 - Manufacture of prepared feeds for farm animals,Prodcom Elements,Total turnover of businesses classified to this industry
1660008,,,,,,,K04000001,2014,Year,,NACE,1092 - Manufacture of prepared pet foods,Prodcom Elements,UK manufacturer sales of individual products listed in this product group
2321,,,,,,,K04000001,2014,Year,,NACE,1092 - Manufacture of prepared pet foods,Prodcom Elements,All other income
1662329,,,,,,,K04000001,2014,Year,,NACE,1092 - Manufacture of prepared pet foods,Prodcom Elements,Total UK manufacturer sales of products in this product group
321554,,,,,,,K04000001,2014,Year,,NACE,1092 - Manufacture of prepared pet foods,Prodcom Elements,Merchanted goods
4448,,,,,,,K04000001,2014,Year,,NACE,1092 - Manufacture of prepared pet foods,Prodcom Elements,Non production income
134927,,,,,,,K04000001,2014,Year,,NACE,1092 - Manufacture of prepared pet foods,Prodcom Elements,Net carry in/carry out
2123855,,,,,,,K04000001,2014,Year,,NACE,1092 - Manufacture of prepared pet foods,Prodcom Elements,Total turnover of businesses classified to this industry
12928322,,,,,,,K04000001,2014,Year,,NACE,11 - Manufacture of beverages,Prodcom Elements,UK manufacturer sales of individual products listed in this product group
360118,,,,,,,K04000001,2014,Year,,NACE,11 - Manufacture of beverages,Prodcom Elements,All other income
13288440,,,,,,,K04000001,2014,Year,,NACE,11 - Manufacture of beverages,Prodcom Elements,Total UK manufacturer sales of products in this product group
1332221,,,,,,,K04000001,2014,Year,,NACE,11 - Manufacture of beverages,Prodcom Elements,Merchanted goods
219175,,,,,,,K04000001,2014,Year,,NACE,11 - Manufacture of beverages,Prodcom Elements,Non production income
256945,,,,,,,K04000001,2014,Year,,NACE,11 - Manufacture of beverages,Prodcom Elements,Net carry in/carry out
